year,tdb
-12737,-2930951.0754141733
-12736,-2930585.8287882535
-12735,-2930220.5851054657
-12734,-2929855.3490372626
-12733,-2929490.1004480356
-12732,-2929124.8602162227
-12731,-2928759.619170174
-12730,-2928394.372613468
-12729,-2928029.1359628774
-12728,-2927663.8879624885
-12727,-2927298.6407928066
-12726,-2926933.40121104
-12725,-2926568.154217663
-12724,-2926202.9125199653
-12723,-2925837.674224629
-12722,-2925472.4278968154
-12721,-2925107.189439807
-12720,-2924741.945071509
-12719,-2924376.69827645
-12718,-2924011.4628016865
-12717,-2923646.2163377516
-12716,-2923280.9719902202
-12715,-2922915.7316331035
-12714,-2922550.4816086143
-12713,-2922185.24340605
-12712,-2921819.9995950097
-12711,-2921454.7530826163
-12710,-2921089.5167909795
-12709,-2920724.2696008626
-12708,-2920359.026814416
-12707,-2919993.788281709
-12706,-2919628.542831191
-12705,-2919263.3035376845
-12704,-2918898.0591122657
-12703,-2918532.8099667234
-12702,-2918167.5702553075
-12701,-2917802.3260782463
-12700,-2917437.0813774094
-12699,-2917071.8444745857
-12698,-2916706.598213424
-12697,-2916341.356877067
-12696,-2915976.1152208615
-12695,-2915610.867484832
-12694,-2915245.6299689114
-12693,-2914880.386054283
-12692,-2914515.138441706
-12691,-2914149.8988022255
-12690,-2913784.65205596
-12689,-2913419.411270804
-12688,-2913054.170404746
-12687,-2912688.924648514
-12686,-2912323.685036352
-12685,-2911958.441966421
-12684,-2911593.196123073
-12683,-2911227.95737723
-12682,-2910862.714125825
-12681,-2910497.4704605592
-12680,-2910132.2278872626
-12679,-2909766.9789673034
-12678,-2909401.7373976456
-12677,-2909036.495641903
-12676,-2908671.2504201327
-12675,-2908306.012363661
-12674,-2907940.768641876
-12673,-2907575.525720075
-12672,-2907210.284543425
-12671,-2906845.0395185007
-12670,-2906479.7991509996
-12669,-2906114.5564342216
-12668,-2905749.309370896
-12667,-2905384.066255592
-12666,-2905018.8230037913
-12665,-2904653.5799577525
-12664,-2904288.338456246
-12663,-2903923.095427407
-12662,-2903557.8516954556
-12661,-2903192.611258502
-12660,-2902827.3658089945
-12659,-2902462.1251342297
-12658,-2902096.884802771
-12657,-2901731.63979901
-12656,-2901366.39609876
-12655,-2901001.1502335276
-12654,-2900635.9069301495
-12653,-2900270.6660215165
-12652,-2899905.4223501394
-12651,-2899540.180832876
-12650,-2899174.9385203896
-12649,-2898809.6956381844
-12648,-2898444.451841915
-12647,-2898079.2098509464
-12646,-2897713.967358575
-12645,-2897348.7232924346
-12644,-2896983.4791944176
-12643,-2896618.233607984
-12642,-2896252.9927766556
-12641,-2895887.750979129
-12640,-2895522.5072039412
-12639,-2895157.266329335
-12638,-2894792.0221982514
-12637,-2894426.77981236
-12636,-2894061.5374422558
-12635,-2893696.294519066
-12634,-2893331.0532608777
-12633,-2892965.810156227
-12632,-2892600.562742806
-12631,-2892235.3191237235
-12630,-2891870.0761129726
-12629,-2891504.8330921233
-12628,-2891139.5928229103
-12627,-2890774.3493323475
-12626,-2890409.1072491603
-12625,-2890043.86725251
-12624,-2889678.6208881577
-12623,-2889313.380821144
-12622,-2888948.138285714
-12621,-2888582.891841938
-12620,-2888217.649154396
-12619,-2887852.4030966638
-12618,-2887487.1609414592
-12617,-2887121.9216821045
-12616,-2886756.676216338
-12615,-2886391.433991383
-12614,-2886026.1927851783
-12613,-2885660.9466088237
-12612,-2885295.706442451
-12611,-2884930.4646619735
-12610,-2884565.2203288954
-12609,-2884199.980894123
-12608,-2883834.731869406
-12607,-2883469.488109839
-12606,-2883104.2487672344
-12605,-2882739.0019754684
-12604,-2882373.762873321
-12603,-2882008.519440715
-12602,-2881643.274421321
-12601,-2881278.036875232
-12600,-2880912.7899498167
-12599,-2880547.548330172
-12598,-2880182.3077587998
-12597,-2879817.0595764685
-12596,-2879451.8164064623
-12595,-2879086.5735853715
-12594,-2878721.3288863637
-12593,-2878356.0917649902
-12592,-2877990.847249261
-12591,-2877625.602411991
-12590,-2877260.364631391
-12589,-2876895.1170090903
-12588,-2876529.87557567
-12587,-2876164.635791351
-12586,-2875799.387693828
-12585,-2875434.1487177107
-12584,-2875068.9009390576
-12583,-2874703.6544247363
-12582,-2874338.4184991345
-12581,-2873973.1711911084
-12580,-2873607.9301175857
-12579,-2873242.6900295215
-12578,-2872877.4431550214
-12577,-2872512.2053986136
-12576,-2872146.961888328
-12575,-2871781.716404246
-12574,-2871416.478422652
