year,tdb
-13111,-3067540.235174803
-13110,-3067174.999892625
-13109,-3066809.7582317693
-13108,-3066444.5223620525
-13107,-3066079.28397897
-13106,-3065714.0387047166
-13105,-3065348.804669477
-13104,-3064983.564871248
-13103,-3064618.3262187876
-13102,-3064253.0911525637
-13101,-3063887.8490931634
-13100,-3063522.611501458
-13099,-3063157.3717750087
-13098,-3062792.128760609
-13097,-3062426.8929037713
-13096,-3062061.6525843376
-13095,-3061696.4090592302
-13094,-3061331.168612426
-13093,-3060965.926151313
-13092,-3060600.6863980927
-13091,-3060235.449769458
-13090,-3059870.2084051725
-13089,-3059504.9724952355
-13088,-3059139.736094688
-13087,-3058774.4946083995
-13086,-3058409.2606357997
-13085,-3058044.0222825836
-13084,-3057678.78343678
-13083,-3057313.5443383027
-13082,-3056948.299598906
-13081,-3056583.0611069296
-13080,-3056217.822037461
-13079,-3055852.581248942
-13078,-3055487.3425294505
-13077,-3055122.1019767765
-13076,-3054756.8610516284
-13075,-3054391.6209270433
-13074,-3054026.3810658175
-13073,-3053661.142916793
-13072,-3053295.905298223
-13071,-3052930.6642247224
-13070,-3052565.423690832
-13069,-3052200.1864461247
-13068,-3051834.947676719
-13067,-3051469.7109281747
-13066,-3051104.4725229824
-13065,-3050739.233766025
-13064,-3050373.996132007
-13063,-3050008.7560409196
-13062,-3049643.5168401524
-13061,-3049278.278090382
-13060,-3048913.0371446013
-13059,-3048547.7930206815
-13058,-3048182.550902563
-13057,-3047817.3093811125
-13056,-3047452.070777014
-13055,-3047086.8328751195
-13054,-3046721.5925386567
-13053,-3046356.355786547
-13052,-3045991.1175440094
-13051,-3045625.8776887665
-13050,-3045260.6423216015
-13049,-3044895.4040391156
-13048,-3044530.166026933
-13047,-3044164.926618401
-13046,-3043799.6838677395
-13045,-3043434.44525552
-13044,-3043069.2072492754
-13043,-3042703.965374957
-13042,-3042338.7261473965
-13041,-3041973.4862768697
-13040,-3041608.243785113
-13039,-3041243.0069922004
-13038,-3040877.765407863
-13037,-3040512.5264251586
-13036,-3040147.2895233603
-13035,-3039782.043397558
-13034,-3039416.8054220118
-13033,-3039051.567561011
-13032,-3038686.328467273
-13031,-3038321.0951652676
-13030,-3037955.854182684
-13029,-3037590.6161667155
-13028,-3037225.3803515155
-13027,-3036860.1370695056
-13026,-3036494.900084614
-13025,-3036129.6617015935
-13024,-3035764.4185640225
-13023,-3035399.178230161
-13022,-3035033.9351198142
-13021,-3034668.693091334
-13020,-3034303.458195921
-13019,-3033938.2140733227
-13018,-3033572.9749768013
-13017,-3033207.7394160368
-13016,-3032842.496366254
-13015,-3032477.262698424
-13014,-3032112.024387339
-13013,-3031746.784041431
-13012,-3031381.5501471693
-13011,-3031016.3036119724
-13010,-3030651.064044946
-13009,-3030285.8293199083
-13008,-3029920.58646689
-13007,-3029555.351401315
-13006,-3029190.111509799
-13005,-3028824.8682402233
-13004,-3028459.6329475017
-13003,-3028094.388733357
-13002,-3027729.1476662224
-13001,-3027363.9126822827
-13000,-3026998.666589425
-12999,-3026633.4271442955
-12998,-3026268.1888601547
-12997,-3025902.9457038203
-12996,-3025537.714526903
-12995,-3025172.4725528713
-12994,-3024807.232269451
-12993,-3024441.9995190334
-12992,-3024076.7568057096
-12991,-3023711.5211601174
-12990,-3023346.2854817975
-12989,-3022981.0420015315
-12988,-3022615.8056476302
-12987,-3022250.5603464497
-12986,-3021885.3159701815
-12985,-3021520.081358213
-12984,-3021154.838352044
-12983,-3020789.5984049113
-12982,-3020424.3620325727
-12981,-3020059.117029174
-12980,-3019693.8824144127
-12979,-3019328.643174012
-12978,-3018963.4000516487
-12977,-3018598.168681591
-12976,-3018232.924246002
-12975,-3017867.6838117763
-12974,-3017502.449786164
-12973,-3017137.2067208355
-12972,-3016771.9740124205
-12971,-3016406.7341596754
-12970,-3016041.4902080977
-12969,-3015676.255864189
-12968,-3015311.0134060998
-12967,-3014945.7722132336
-12966,-3014580.5361368908
-12965,-3014215.2912810557
-12964,-3013850.0510666063
-12963,-3013484.809391383
-12962,-3013119.5644166116
-12961,-3012754.3305408275
-12960,-3012389.0928333057
-12959,-3012023.851168745
-12958,-3011658.618471111
-12957,-3011293.376796268
-12956,-3010928.1410518326
-12955,-3010562.905173745
-12954,-3010197.661849997
-12953,-3009832.4273700016
-12952,-3009467.1852153046
-12951,-3009101.9403658407
-12950,-3008736.704186242
-12949,-3008371.462078087
-12948,-3008006.223291969
-12947,-3007640.983635097
-12946,-3007275.738711849
-12945,-3006910.502009716
-12944,-3006545.263446468
-12943,-3006180.0213182913
-12942,-3005814.7868241537
-12941,-3005449.5464326283
-12940,-3005084.3050849186
-12939,-3004719.0672168983
-12938,-3004353.825118198
-12937,-3003988.590769138
-12936,-3003623.354814171
-12935,-3003258.1120825494
-12934,-3002892.8764498727
-12933,-3002527.636291777
-12932,-3002162.3965503415
-12931,-3001797.1575261513
-12930,-3001431.915144626
-12929,-3001066.6743424293
-12928,-3000701.433083889
-12927,-3000336.188760449
-12926,-2999970.950519426
-12925,-2999605.713564383
-12924,-2999240.473749918
-12923,-2998875.2352795266
-12922,-2998509.9956609085
-12921,-2998144.7575080227
-12920,-2997779.5223451704
-12919,-2997414.2819919884
-12918,-2997049.045423312
-12917,-2996683.806976551
-12916,-2996318.5643130457
-12915,-2995953.324046931
-12914,-2995588.083098639
-12913,-2995222.8454417316
-12912,-2994857.6063118847
-12911,-2994492.364454517
-12910,-2994127.124523809
-12909,-2993761.885508812
-12908,-2993396.64636124
-12907,-2993031.4050500877
-12906,-2992666.166428186
-12905,-2992300.925256883
-12904,-2991935.68440572
-12903,-2991570.4449084373
-12902,-2991205.206083865
-12901,-2990839.9716645973
-12900,-2990474.734104663
-12899,-2990109.493174229
