year,tdb
-12617,-2887122.671359799
-12616,-2886757.4247498354
-12615,-2886392.18113037
-12614,-2886026.938847279
-12613,-2885661.6907004463
-12612,-2885296.4488523174
-12611,-2884931.205774543
-12610,-2884565.959826275
-12609,-2884200.719774916
-12608,-2883835.4704001537
-12607,-2883470.2262401152
-12606,-2883104.9879961424
-12605,-2882739.741632309
-12604,-2882374.50318713
-12603,-2882009.261274901
-12602,-2881644.0166108645
-12601,-2881278.7800107496
-12600,-2880913.533504124
-12599,-2880548.2913598735
-12598,-2880183.0508266706
-12597,-2879817.801368487
-12596,-2879452.556720688
-12595,-2879087.312767039
-12594,-2878722.066086607
-12593,-2878356.8273048643
-12592,-2877991.5816252874
-12591,-2877626.3353041653
-12590,-2877261.097098749
-12589,-2876895.8493168103
-12588,-2876530.6076311544
-12587,-2876165.3690354805
-12586,-2875800.1213850733
-12585,-2875434.883107446
-12584,-2875069.6368992385
-12583,-2874704.390675204
-12582,-2874339.1555834915
-12581,-2873973.9085634165
-12580,-2873608.666829423
-12579,-2873243.426603199
-12578,-2872878.178313271
-12577,-2872512.938977482
-12576,-2872147.6942609465
-12575,-2871782.446721539
-12574,-2871417.2070477
-12573,-2871051.957588248
-12572,-2870686.709959754
-12571,-2870321.470709919
-12570,-2869956.2236087555
-12569,-2869590.985615547
-12568,-2869225.744354738
-12567,-2868860.497096328
-12566,-2868495.261136162
-12565,-2868130.016757272
-12564,-2867764.7733449796
-12563,-2867399.5366139943
-12562,-2867034.288365662
-12561,-2866669.0463978834
-12560,-2866303.8017813396
-12559,-2865938.552674518
-12558,-2865573.3144030226
-12557,-2865208.0689690886
-12556,-2864842.8213884886
-12555,-2864477.5814678604
-12554,-2864112.3343089437
-12553,-2863747.0918087354
-12552,-2863381.8521369863
-12551,-2863016.6034635054
-12550,-2862651.365303412
-12549,-2862286.120873905
-12548,-2861920.8725480437
-12547,-2861555.6368688457
-12546,-2861190.39278505
-12545,-2860825.152369879
-12544,-2860459.9129589805
-12543,-2860094.664300531
-12542,-2859729.425466058
-12541,-2859364.1814520443
-12540,-2858998.93354466
-12539,-2858633.693408083
-12538,-2858268.44594525
-12537,-2857903.1989884805
-12536,-2857537.9553978965
-12535,-2857172.7083773967
-12534,-2856807.4678400094
-12533,-2856442.227525724
-12532,-2856076.980099788
-12531,-2855711.741777392
-12530,-2855346.500401563
-12529,-2854981.2570003206
-12528,-2854616.019622067
-12527,-2854250.773554533
-12526,-2853885.531684938
-12525,-2853520.288133543
-12524,-2853155.038270212
-12523,-2852789.7986137075
-12522,-2852424.555641097
-12521,-2852059.310418118
-12520,-2851694.068436547
