year,tt
2229,2535264.3613685807
2230,2535629.604591653
2231,2535994.8478147304
2232,2536360.0910378112
2233,2536725.3342608972
2234,2537090.577483987
2235,2537455.8207070814
2236,2537821.06393018
2237,2538186.307153283
2238,2538551.5503763906
2239,2538916.7935995026
2240,2539282.036822619
2241,2539647.2800457394
2242,2540012.5232688645
2243,2540377.766491994
2244,2540743.0097151273
2245,2541108.2529382654
2246,2541473.496161408
2247,2541838.739384555
2248,2542203.982607706
2249,2542569.2258308614
2250,2542934.4690540214
2251,2543299.7122771856
2252,2543664.9555003545
2253,2544030.1987235276
2254,2544395.441946705
2255,2544760.685169887
2256,2545125.928393073
2257,2545491.171616263
2258,2545856.414839458
2259,2546221.6580626573
2260,2546586.901285861
2261,2546952.144509069
2262,2547317.3877322813
2263,2547682.630955498
2264,2548047.8741787192
2265,2548413.117401945
2266,2548778.360625175
2267,2549143.603848409
2268,2549508.8470716476
2269,2549874.0902948906
2270,2550239.333518138
2271,2550604.5767413895
2272,2550969.819964646
2273,2551335.063187906
2274,2551700.306411171
2275,2552065.5496344403
2276,2552430.7928577135
2277,2552796.0360809914
2278,2553161.279304274
2279,2553526.5225275606
2280,2553891.7657508515
2281,2554257.008974147
2282,2554622.252197447
2283,2554987.4954207507
2284,2555352.7386440593
2285,2555717.981867372
2286,2556083.2250906895
2287,2556448.468314011
2288,2556813.711537337
2289,2557178.9547606674
2290,2557544.197984002
2291,2557909.4412073414
2292,2558274.6844306844
2293,2558639.9276540326
2294,2559005.1708773845
2295,2559370.4141007415
2296,2559735.6573241022
2297,2560100.9005474676
2298,2560466.143770837
2299,2560831.3869942115
2300,2561196.63021759
2301,2561561.8734409725
2302,2561927.11666436
2303,2562292.3598877513
2304,2562657.6031111474
2305,2563022.8463345477
2306,2563388.0895579522
2307,2563753.3327813614
2308,2564118.576004775
2309,2564483.8192281923
2310,2564849.0624516145
2311,2565214.305675041
2312,2565579.548898472
2313,2565944.792121907
2314,2566310.0353453467
2315,2566675.2785687908
2316,2567040.521792239
2317,2567405.765015692
2318,2567771.008239149
2319,2568136.2514626104
2320,2568501.4946860764
2321,2568866.7379095466
2322,2569231.9811330214
2323,2569597.2243565004
2324,2569962.4675799836
2325,2570327.7108034715
2326,2570692.9540269636
2327,2571058.19725046
2328,2571423.4404739607
2329,2571788.683697466
2330,2572153.9269209756
2331,2572519.1701444895
2332,2572884.4133680076
2333,2573249.6565915304
2334,2573614.8998150574
2335,2573980.1430385886
2336,2574345.3862621244
2337,2574710.629485665
2338,2575075.872709209
2339,2575441.1159327584
2340,2575806.3591563115
2341,2576171.602379869
2342,2576536.845603431
2343,2576902.0888269977
2344,2577267.3320505684
2345,2577632.5752741434
2346,2577997.818497723
2347,2578363.0617213068
2348,2578728.304944895
2349,2579093.548168488
2350,2579458.7913920847
2351,2579824.034615686
2352,2580189.277839292
2353,2580554.5210629017
2354,2580919.7642865162
2355,2581285.007510135
2356,2581650.2507337583
2357,2582015.493957386
2358,2582380.737181018
2359,2582745.980404654
2360,2583111.223628295
2361,2583476.46685194
2362,2583841.7100755894
2363,2584206.9532992435
2364,2584572.1965229013
2365,2584937.4397465643
2366,2585302.682970231
2367,2585667.9261939023
2368,2586033.169417578
2369,2586398.412641258
2370,2586763.6558649424
2371,2587128.899088631
2372,2587494.142312324
2373,2587859.3855360216
2374,2588224.6287597236
2375,2588589.87198343
2376,2588955.1152071403
2377,2589320.3584308554
2378,2589685.601654575
2379,2590050.8448782987
2380,2590416.088102027
2381,2590781.331325759
2382,2591146.574549496
2383,2591511.8177732374
2384,2591877.060996983
2385,2592242.3042207328
2386,2592607.5474444875
2387,2592972.790668246
2388,2593338.033892009
2389,2593703.2771157767
2390,2594068.5203395486
2391,2594433.7635633247
2392,2594799.006787105
2393,2595164.25001089
2394,2595529.4932346796
2395,2595894.736458473
2396,2596259.9796822714
2397,2596625.2229060736
2398,2596990.4661298804
2399,2597355.7093536914
2400,2597720.952577507
2401,2598086.195801327
2402,2598451.439025151
2403,2598816.68224898
2404,2599181.9254728127
2405,2599547.1686966503
2406,2599912.411920492
2407,2600277.6551443385
2408,2600642.8983681886
2409,2601008.1415920435
2410,2601373.384815903
