year,tt
5867,3864016.5976797463
5868,3864381.84061483
5869,3864747.083549918
5870,3865112.326485011
5871,3865477.5694201076
5872,3865842.812355209
5873,3866208.0552903144
5874,3866573.298225425
5875,3866938.5411605397
5876,3867303.7840956585
5877,3867669.027030782
5878,3868034.26996591
5879,3868399.512901042
5880,3868764.7558361785
5881,3869129.99877132
5882,3869495.2417064654
5883,3869860.4846416153
5884,3870225.72757677
5885,3870590.970511928
5886,3870956.2134470916
5887,3871321.4563822593
5888,3871686.699317431
5889,3872051.942252608
5890,3872417.1851877887
5891,3872782.428122974
5892,3873147.6710581635
5893,3873512.9139933577
5894,3873878.156928556
5895,3874243.399863759
5896,3874608.6427989663
5897,3874973.885734178
5898,3875339.128669394
5899,3875704.371604615
5900,3876069.61453984
5901,3876434.8574750694
5902,3876800.100410303
5903,3877165.3433455415
5904,3877530.5862807836
5905,3877895.829216031
5906,3878261.0721512823
5907,3878626.3150865384
5908,3878991.5580217987
5909,3879356.800957063
5910,3879722.0438923324
5911,3880087.286827606
5912,3880452.529762884
5913,3880817.772698167
5914,3881183.015633453
5915,3881548.258568744
5916,3881913.5015040403
5917,3882278.74443934
5918,3882643.9873746447
5919,3883009.2303099534
5920,3883374.473245267
5921,3883739.7161805844
5922,3884104.9591159066
5923,3884470.2020512335
5924,3884835.444986564
5925,3885200.6879218994
5926,3885565.9308572393
5927,3885931.1737925834
5928,3886296.416727932
5929,3886661.659663285
5930,3887026.9025986427
5931,3887392.1455340046
5932,3887757.388469371
5933,3888122.6314047417
5934,3888487.8743401165
5935,3888853.117275496
5936,3889218.3602108797
5937,3889583.603146268
5938,3889948.846081661
5939,3890314.0890170583
5940,3890679.33195246
5941,3891044.574887866
5942,3891409.8178232764
5943,3891775.0607586913
5944,3892140.3036941104
5945,3892505.546629534
5946,3892870.7895649625
5947,3893236.0325003946
5948,3893601.2754358314
5949,3893966.518371273
5950,3894331.761306719
5951,3894697.0042421687
5952,3895062.247177623
5953,3895427.4901130823
5954,3895792.733048546
5955,3896157.9759840136
5956,3896523.218919486
5957,3896888.4618549626
5958,3897253.7047904436
5959,3897618.9477259293
5960,3897984.190661419
5961,3898349.4335969137
5962,3898714.676532412
5963,3899079.9194679153
5964,3899445.162403423
5965,3899810.4053389346
5966,3900175.6482744515
5967,3900540.891209972
5968,3900906.1341454973
5969,3901271.377081027
5970,3901636.620016561
5971,3902001.862952099
5972,3902367.105887642
5973,3902732.3488231897
5974,3903097.591758741
5975,3903462.834694297
5976,3903828.0776298577
5977,3904193.320565423
5978,3904558.563500992
5979,3904923.806436566
5980,3905289.049372144
5981,3905654.292307727
5982,3906019.5352433138
5983,3906384.778178905
5984,3906750.021114501
5985,3907115.264050102
5986,3907480.5069857063
5987,3907845.7499213153
5988,3908210.992856929
5989,3908576.2357925465
5990,3908941.309577862
5991,3909306.5470935134
5992,3909671.7879613023
5993,3910037.0289808856
5994,3910402.273234357
5995,3910767.5181018086
5996,3911132.762969264
5997,3911498.0078367237
5998,3911863.252704188
5999,3912228.497571657
6000,3912593.7424391303
6001,3912958.987306608
6002,3913324.2321740896
6003,3913689.477041576
6004,3914054.721909067
6005,3914419.966776562
6006,3914785.211644062
6007,3915150.456511566
6008,3915515.7013790747
6009,3915880.9462465877
6010,3916246.191114105
6011,3916611.4359816266
6012,3916976.6808491526
6013,3917341.9257166833
6014,3917707.1705842186
6015,3918072.4154517576
6016,3918437.6603193013
6017,3918802.9051868496
6018,3919168.1500544026
6019,3919533.3949219594
6020,3919898.6397895208
6021,3920263.884657087
6022,3920629.129524657
6023,3920994.374392232
6024,3921359.619259811
6025,3921724.8641273947
6026,3922090.108994982
6027,3922455.353862575
6028,3922820.598730172
6029,3923185.843597773
6030,3923551.0884653786
6031,3923916.3333329884
6032,3924281.578200603
6033,3924646.823068222
6034,3925012.0679358453
6035,3925377.312803473
6036,3925742.557671105
6037,3926107.8025387414
6038,3926473.047406383
6039,3926838.292274028
6040,3927203.537141678
6041,3927568.782009332
6042,3927934.0268769907
6043,3928299.2717446536
6044,3928664.516612321
6045,3929029.761479993
6046,3929395.0063476693
6047,3929760.25121535
6048,3930125.496083035
6049,3930490.7409507246
6050,3930855.9858184187
6051,3931221.230686117
6052,3931586.4755538194
6053,3931951.7204215266
6054,3932316.9652892384
6055,3932682.2101569544
6056,3933047.4550246745
6057,3933412.6998924
6058,3933777.80449611
6059,3934143.0421060473
6060,3934508.2886992665
6061,3934873.53529249
6062,3935238.781885718
6063,3935604.0284789503
6064,3935969.275072187
6065,3936334.5216654288
6066,3936699.7682586745
6067,3937065.014851925
6068,3937430.2614451796
6069,3937795.5080384384
6070,3938160.754631702
6071,3938526.0012249695
6072,3938891.247818242
6073,3939256.494411519
6074,3939621.7410047995
6075,3939986.987598085
6076,3940352.234191375
6077,3940717.4807846695
6078,3941082.727377968
6079,3941447.973971271
6080,3941813.2205645787
6081,3942178.467157891
6082,3942543.713751207
6083,3942908.960344528
6084,3943274.2069378532
6085,3943639.453531183
6086,3944004.700124517
6087,3944369.9467178555
6088,3944735.193311198
6089,3945100.4399045454
6090,3945465.5562531287
6091,3945830.7967517637
6092,3946196.0420270306
6093,3946561.287302302
6094,3946926.532577579
6095,3947291.7778528593
6096,3947657.0231281444
6097,3948022.2684034333
6098,3948387.5136787277
6099,3948752.758954026
6100,3949118.004229328
